t_idx,DateTime,HourOfDay,DayOfWeek,IsWeekend
0,2004-03-10 18:00,18,4,0
1,2004-03-10 19:00,19,4,0
2,2004-03-10 20:00,20,4,0
3,2004-03-10 21:00,21,4,0
4,2004-03-10 22:00,22,4,0
5,2004-03-10 23:00,23,4,0
6,2004-03-11 00:00,0,5,0
7,2004-03-11 01:00,1,5,0
8,2004-03-11 02:00,2,5,0
9,2004-03-11 03:00,3,5,0
10,2004-03-11 04:00,4,5,0
11,2004-03-11 05:00,5,5,0
12,2004-03-11 06:00,6,5,0
13,2004-03-11 07:00,7,5,0
14,2004-03-11 08:00,8,5,0
15,2004-03-11 09:00,9,5,0
16,2004-03-11 10:00,10,5,0
17,2004-03-11 11:00,11,5,0
18,2004-03-11 12:00,12,5,0
19,2004-03-11 13:00,13,5,0
20,2004-03-11 14:00,14,5,0
21,2004-03-11 15:00,15,5,0
22,2004-03-11 16:00,16,5,0
23,2004-03-11 17:00,17,5,0
24,2004-03-11 18:00,18,5,0
25,2004-03-11 19:00,19,5,0
26,2004-03-11 20:00,20,5,0
27,2004-03-11 21:00,21,5,0
28,2004-03-11 22:00,22,5,0
29,2004-03-11 23:00,23,5,0
30,2004-03-12 00:00,0,6,0
31,2004-03-12 01:00,1,6,0
32,2004-03-12 02:00,2,6,0
33,2004-03-12 03:00,3,6,0
34,2004-03-12 04:00,4,6,0
35,2004-03-12 05:00,5,6,0
36,2004-03-12 06:00,6,6,0
37,2004-03-12 07:00,7,6,0
38,2004-03-12 08:00,8,6,0
39,2004-03-12 09:00,9,6,0
40,2004-03-12 10:00,10,6,0
41,2004-03-12 11:00,11,6,0
42,2004-03-12 12:00,12,6,0
43,2004-03-12 13:00,13,6,0
44,2004-03-12 14:00,14,6,0
45,2004-03-12 15:00,15,6,0
46,2004-03-12 16:00,16,6,0
47,2004-03-12 17:00,17,6,0
48,2004-03-12 18:00,18,6,0
49,2004-03-12 19:00,19,6,0
50,2004-03-12 20:00,20,6,0
51,2004-03-12 21:00,21,6,0
52,2004-03-12 22:00,22,6,0
53,2004-03-12 23:00,23,6,0
54,2004-03-13 00:00,0,7,1
55,2004-03-13 01:00,1,7,1
56,2004-03-13 02:00,2,7,1
57,2004-03-13 03:00,3,7,1
58,2004-03-13 04:00,4,7,1
59,2004-03-13 05:00,5,7,1
60,2004-03-13 06:00,6,7,1
61,2004-03-13 07:00,7,7,1
62,2004-03-13 08:00,8,7,1
63,2004-03-13 09:00,9,7,1
64,2004-03-13 10:00,10,7,1
65,2004-03-13 11:00,11,7,1
66,2004-03-13 12:00,12,7,1
67,2004-03-13 13:00,13,7,1
68,2004-03-13 14:00,14,7,1
