jobid,suffix,AE_mean_99,SE_mean_99,R2_mean_99,AE_mean_27,SE_mean_27,R2_mean_27,n_rows,n_rows_27,filename
250916013,smooth,0.03828085038293164,0.005187435991263483,0.8190710069507928,0.05043580688816634,0.0062429874661295405,0.8349977210414151,99,27,recon_metrics_250916013_smooth.csv
250916013,valid,0.04001762896081789,0.005622012663359156,0.8283282465316363,0.0525974994094306,0.007096723402461833,0.8097627326623422,99,27,recon_metrics_250916013_valid.csv
250916014,smooth,0.05260553612335302,0.00940472481036356,0.6883256104897936,0.08632144834762243,0.01681221390093431,0.5757622272135028,99,27,recon_metrics_250916014_smooth.csv
250916014,valid,0.025672245092281755,0.002412557461939793,0.9413592426950758,0.03141764696662214,0.0027568663492157485,0.9229396106840477,99,27,recon_metrics_250916014_valid.csv
250916015,smooth,0.026232428712428653,0.002323880843579913,0.9180969962448694,0.037524929759193304,0.0035297338941774337,0.9069765911595226,99,27,recon_metrics_250916015_smooth.csv
250916015,valid,0.020574318854861478,0.00148076860306837,0.9521559716080853,0.026421359634822426,0.001746064223055059,0.9480665388629752,99,27,recon_metrics_250916015_valid.csv
250916016,smooth,0.023969344154306366,0.001957998122969627,0.9292790666972645,0.03291970091722712,0.0028462766361926485,0.9231592480926367,99,27,recon_metrics_250916016_smooth.csv
250916016,valid,0.022373228053979097,0.0016671993880608212,0.9482766368777606,0.028219869414420853,0.002103663465344826,0.9385846942557513,99,27,recon_metrics_250916016_valid.csv
250916017,smooth,0.02391487014760774,0.002013796875626695,0.9315900916030234,0.03342201958763799,0.0029876424144952515,0.9181727914165276,99,27,recon_metrics_250916017_smooth.csv
250916017,valid,0.021808347990465982,0.0015872034338958727,0.9516165667283111,0.026343760576718944,0.0017998337147244888,0.9469364929473082,99,27,recon_metrics_250916017_valid.csv
250916018,smooth,0.020988517994715118,0.001571209201931785,0.9441714858379792,0.029299453862654354,0.002265892817206837,0.9355520796074361,99,27,recon_metrics_250916018_smooth.csv
250916018,valid,0.02235756565794166,0.0015961235417075708,0.9481708524520812,0.027551666979404574,0.001984171391437504,0.9414457205435404,99,27,recon_metrics_250916018_valid.csv
250916019,smooth,0.02237606041656144,0.0017913570497427361,0.9383289354648867,0.03138122404378111,0.002780513980941144,0.9229337423167862,99,27,recon_metrics_250916019_smooth.csv
250916019,valid,0.025314403785810857,0.0021345204741901667,0.9315753480995524,0.03152770538435857,0.002803900942425303,0.921463046853033,99,27,recon_metrics_250916019_valid.csv
250916020,smooth,0.02144756216788313,0.0015750309789597638,0.9415824161199896,0.02817901315761135,0.001994893396006152,0.942144302756961,99,27,recon_metrics_250916020_smooth.csv
250916020,valid,0.025070365596828764,0.002282540946833275,0.9336708004086028,0.02854318722382893,0.0022741796784461186,0.9356991783467081,99,27,recon_metrics_250916020_valid.csv
250916021,smooth,0.021672282511685646,0.0016019196802506414,0.9408937654922194,0.02823523248601987,0.0020472984580063853,0.9414783830329378,99,27,recon_metrics_250916021_smooth.csv
250916021,valid,0.02364555143938531,0.0017444015568514595,0.9446812642663488,0.027398536508476696,0.0019653497674319,0.9431831312747895,99,27,recon_metrics_250916021_valid.csv
250916022,smooth,0.021118320349567017,0.0015607596787586497,0.9442746259765399,0.029003366565041083,0.002173764420677452,0.9374188154659138,99,27,recon_metrics_250916022_smooth.csv
250916022,valid,0.021597457184760846,0.0015657651282781242,0.9491581984254072,0.025783384587509704,0.0017629409172394,0.9487274492285074,99,27,recon_metrics_250916022_valid.csv
250916023,smooth,0.019984768403654343,0.0014288672348892828,0.9494583448185382,0.026620022397425426,0.0018389973036889776,0.9459432365216182,99,27,recon_metrics_250916023_smooth.csv
250916023,valid,0.022286831881798412,0.001734041457880989,0.9404086114722415,0.030043277178429823,0.0025186613253472593,0.9271526013744884,99,27,recon_metrics_250916023_valid.csv
250916024,smooth,0.020265778222171058,0.0014226608936364394,0.9479389970496481,0.02623007833658339,0.0017815974224534223,0.9483627458761711,99,27,recon_metrics_250916024_smooth.csv
250916024,valid,0.02154440711945792,0.001616759091663515,0.9432645881636892,0.028452184215013214,0.0022080622943464,0.9364631261794586,99,27,recon_metrics_250916024_valid.csv
